"Strategy Name";"Filters result";"Net profit (IS)";"Net profit (OOS)";"Profit factor (IS)";"Profit factor (OOS)";"Avg. Win (IS)";"Avg. Loss (IS)";"Stability (IS)";"Stability (OOS)";"Avg. Win (OOS)";"Avg. Loss (OOS)";"Edge Ratio (IS)";"Edge Ratio (OOS)";"Fitness (IS)";"Fitness (OOS)";"Ret/DD Ratio (IS)";"Ret/DD Ratio (OOS)";"Avg. Trades Per Month";"Win/Loss ratio (IS)";"Win/Loss ratio (OOS)";"Complexity (IS)";"Degrees of freedom (IS)";"Kelly formula (IS)";"Kelly formula (OOS)";"SQN Score (IS)";"SQN Score (OOS)";"EquityAngle";"EquitySlope"
"Strategy 3.9.129";"PASSED";"230.94";"0.0";"1.07";"0.0";"108.7";"81.86";"0.46";"0.0";"0.0";"0.0";"1.1";"0.0";"0.31";"0.0";"0.22";"0.0";"2.39";"0.8";"0.0";"10";"64";"2.87";"0.0";"0.05";"0.0";"13.99";"0.28"
"Strategy 2.23.127";"PASSED";"806.85";"0.0";"1.15";"0.0";"81.53";"75.75";"0.59";"0.0";"0.0";"0.0";"1.38";"0.0";"0.52";"0.0";"1.35";"0.0";"4.61";"1.07";"0.0";"12";"131";"6.92";"0.0";"0.18";"0.0";"40.46";"22.25"
"Strategy 4.10.107";"PASSED";"370.44";"0.0";"1.17";"0.0";"66.08";"51.32";"0.72";"0.0";"0.0";"0.0";"1.06";"0.0";"0.44";"0.0";"0.89";"0.0";"2.65";"0.91";"0.0";"13";"69";"6.83";"0.0";"0.14";"0.0";"21.47";"14.81"
"Strategy 2.13.161";"PASSED";"1569.96";"0.0";"1.57";"0.0";"102.65";"60.92";"0.86";"0.0";"0.0";"0.0";"1.59";"0.0";"0.64";"0.0";"3.7";"0.0";"2.81";"0.93";"0.0";"10";"77";"17.58";"0.0";"0.52";"0.0";"59.01";"53.11"
"Strategy 4.21.119";"PASSED";"1846.98";"0.0";"1.58";"0.0";"104.82";"77.67";"0.65";"0.0";"0.0";"0.0";"1.5";"0.0";"0.58";"0.0";"2.48";"0.0";"2.87";"1.17";"0.0";"16";"73";"19.8";"0.0";"0.51";"0.0";"63.08";"31.54"
"Strategy 4.17.178";"PASSED";"1160.1";"0.0";"1.28";"0.0";"108.93";"70.81";"0.78";"0.0";"0.0";"0.0";"1.39";"0.0";"0.59";"0.0";"2.01";"0.0";"3.48";"0.83";"0.0";"12";"96";"9.86";"0.0";"0.22";"0.0";"50.83";"38.12"
"Strategy 1.28.142";"PASSED";"761.4";"0.0";"1.16";"0.0";"79.34";"66.19";"0.61";"0.0";"0.0";"0.0";"1.49";"0.0";"0.44";"0.0";"0.76";"0.0";"4.45";"0.97";"0.0";"8";"130";"6.95";"0.0";"0.13";"0.0";"38.8";"12.8"
"Strategy 4.20.193";"PASSED";"286.65";"0.0";"1.13";"0.0";"65.53";"49.33";"0.75";"0.0";"0.0";"0.0";"1.11";"0.0";"0.4";"0.0";"0.64";"0.0";"2.74";"0.85";"0.0";"17";"68";"5.15";"0.0";"0.12";"0.0";"16.98";"8.66"
"Strategy 4.22.160";"PASSED";"942.57";"0.0";"1.55";"0.0";"106.21";"65.88";"0.79";"0.0";"0.0";"0.0";"1.43";"0.0";"0.57";"0.0";"2.8";"0.0";"1.65";"0.96";"0.0";"16";"35";"17.4";"0.0";"0.12";"0.0";"45.26";"39.38"
"Strategy 2.15.122";"PASSED";"854.55";"0.0";"1.25";"0.0";"106.03";"59.42";"0.76";"0.0";"0.0";"0.0";"1.47";"0.0";"0.53";"0.0";"1.72";"0.0";"3.13";"0.7";"0.0";"11";"86";"8.31";"0.0";"0.3";"0.0";"42.09";"25.25"
